,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
6xvBQwD82D0uGP9DZvULMO,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Beyond Of Soul,5,Caballero,Endemic (Compiled by Durs),https://i.scdn.co/image/ab67616d0000b273a3cc356586145f7607e1a19e,[],15,0.649,0.733,9,-10.767,0,0.0601,0.00169,0.862,0.0924,0.3,125.022,401000,4,psytrance
7JOZRSg0RnN6fDcSGtCkcI,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Still On Earth,4,Intelligence,Endemic (Compiled by Durs),https://i.scdn.co/image/ab67616d0000b273a3cc356586145f7607e1a19e,['trance mexicano'],9,0.651,0.941,4,-6.789,1,0.0668,0.019,0.757,0.0911,0.49,137.994,525500,4,psytrance
5yAkxkagJ4fsyjGVso99Lh,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Lost contact with life,31,Unstable,Endemic (Compiled by Durs),https://i.scdn.co/image/ab67616d0000b273a3cc356586145f7607e1a19e,['trance mexicano'],31,0.615,0.901,11,-7.776,1,0.0437,0.00257,0.893,0.455,0.715,140.01,414500,4,psytrance
3ymBFi9QCcyiRQXqUem71Q,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,We Gonna Groove - Physis Remix,5,Interactive Noise,Endemic (Compiled by Durs),https://i.scdn.co/image/ab67616d0000b273a3cc356586145f7607e1a19e,"['progressive psytrance', 'psychedelic trance', 'trance mexicano']",41,0.53,0.622,2,-7.267,1,0.0738,0.0646,0.678,0.171,0.301,140.001,293000,4,psytrance
1mZmFWg4cZwPqlVTbxqpxa,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Sunrise,7,Cosmic Energy,Endemic (Compiled by Durs),https://i.scdn.co/image/ab67616d0000b273a3cc356586145f7607e1a19e,['trance mexicano'],18,0.645,0.884,2,-3.721,1,0.0883,0.0148,0.454,0.137,0.497,138.018,421500,4,psytrance
5EJaihQ2de2kuMxHMYX7UN,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Kingdom,8,Mr. Nobody,Endemic (Compiled by Durs),https://i.scdn.co/image/ab67616d0000b273a3cc356586145f7607e1a19e,['trance mexicano'],9,0.801,0.836,1,-6.914,0,0.0968,0.0104,0.361,0.0846,0.41,142.036,329500,4,psytrance
4yYZiTs4POstymsvYdmnqL,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Going Back,5,Who Knows?,Endemic (Compiled by Durs),https://i.scdn.co/image/ab67616d0000b273a3cc356586145f7607e1a19e,['trance mexicano'],21,0.703,0.916,7,-5.857,1,0.119,0.2,0.848,0.355,0.483,140.033,358000,4,psytrance
6ci9b9DpCNHSfKRIS626lT,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Touché,35,Synergetic Emotion,Endemic (Compiled by Durs),https://i.scdn.co/image/ab67616d0000b273a3cc356586145f7607e1a19e,['trance mexicano'],34,0.638,0.593,6,-8.064,0,0.0311,0.107,0.832,0.122,0.3,140.024,221500,4,psytrance
4ix5eGPEhFDoYGid3H7aio,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Tell Her,5,Satori,Endemic (Compiled by Durs),https://i.scdn.co/image/ab67616d0000b273a3cc356586145f7607e1a19e,['trance mexicano'],10,0.649,0.923,6,-4.738,1,0.0644,0.0257,0.146,0.108,0.212,137.01,351875,4,psytrance
3vi25g8pHE6002188JfvtR,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Apeshit,5,Tron,Endemic (Compiled by Durs),https://i.scdn.co/image/ab67616d0000b273a3cc356586145f7607e1a19e,['trance mexicano'],8,0.773,0.603,2,-5.855,1,0.0526,0.000274,0.853,0.11,0.157,140.013,469250,4,psytrance
5JiSnAmoFCYrcXszaTTOhq,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Far Away,5,Audiophonic,Endemic (Compiled by Durs),https://i.scdn.co/image/ab67616d0000b273a3cc356586145f7607e1a19e,['trance mexicano'],17,0.712,0.695,3,-6.675,1,0.0594,0.00679,0.714,0.0932,0.341,138.013,368000,4,psytrance
7DN8OAup7cEsV15Xkeoc7d,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,God Is On The Phone - Who Knows? & Almost Famous Remix,6,Durs,Endemic (Compiled by Durs),https://i.scdn.co/image/ab67616d0000b273a3cc356586145f7607e1a19e,"['progressive psytrance', 'psychedelic trance', 'trance mexicano']",45,0.431,0.823,2,-6.384,1,0.0997,0.0475,0.64,0.0864,0.59,137.994,381500,4,psytrance
1un5K7Cvw5P2ko6cxViX7Y,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Perfect Time,10,Cosmic Energy,Perfect Time,https://i.scdn.co/image/ab67616d0000b2732df765587c83cef4fb8f08ed,['trance mexicano'],18,0.639,0.849,2,-5.826,1,0.093,0.00193,0.881,0.0825,0.738,143.051,349855,4,psytrance
3K1z5hxClflOcQRfwKzZDr,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Real Or Fake,30,Durs,Real Or Fake,https://i.scdn.co/image/ab67616d0000b273584d07f593f1e47f1a3f76ba,"['progressive psytrance', 'psychedelic trance', 'trance mexicano']",45,0.805,0.429,2,-8.368,1,0.0405,0.133,0.292,0.656,0.263,135.011,293556,4,psytrance
4FUSnSapKePWH2deftWn3l,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,For A Better World,28,Interactive Noise,For A Better World,https://i.scdn.co/image/ab67616d0000b2738f9d9f9b43d16a6ef77000eb,"['progressive psytrance', 'psychedelic trance', 'trance mexicano']",41,0.779,0.86,2,-6.813,1,0.106,0.0167,0.709,0.09,0.0811,142.007,341250,4,psytrance
1Ihgvz6cEsutxYzz8IXePE,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,The Answer - Original mix,27,Ace Ventura,The Answer,https://i.scdn.co/image/ab67616d0000b27396642d18b2a30122af185488,"['progressive psytrance', 'psychedelic trance']",43,0.684,0.798,6,-7.312,0,0.0729,0.00249,0.832,0.0747,0.181,141.014,422128,4,psytrance
4BrFiFvct5dJiuACi3ia1S,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Breakfast of Champignons - Original Mix,5,Earthling,Interstellar Moonshine,https://i.scdn.co/image/ab67616d0000b273a48e436dca0b628a2f75a36e,['forest psy'],20,0.576,0.834,2,-8.454,1,0.0394,0.000265,0.756,0.247,0.208,142.0,425915,4,psytrance
001DTV4JNIk8dd7pMEM5mO,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Geometry,9,Cosmic Energy,Geometry,https://i.scdn.co/image/ab67616d0000b2731d4e3c0afa93eebcb50c397d,['trance mexicano'],18,0.797,0.569,9,-8.562,1,0.0812,0.00349,0.585,0.136,0.305,140.025,329343,3,psytrance
0vupZR4Hk4nUyCe838X9YE,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Super Duper,4,Jano,Super Duper,https://i.scdn.co/image/ab67616d0000b273e4b991f124ce08c744e6633a,['trance mexicano'],8,0.356,0.81,7,-6.522,1,0.0443,0.0018,0.69,0.209,0.145,108.65,340966,3,psytrance
4EPC2GPKN8RfuAMc6NBrC2,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,All Around Us,56,Neelix,All Around Us,https://i.scdn.co/image/ab67616d0000b2737672109cd326608826c4b707,"['german techno', 'progressive psytrance']",57,0.75,0.563,9,-9.883,0,0.0977,0.049,0.0437,0.358,0.427,139.991,224786,4,psytrance
2fa3eDUnLWkGNXSx3uUZJZ,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Darkfire,41,Shanti V Deedrah,Darkfire,https://i.scdn.co/image/ab67616d0000b273c5398f96c6d58c860b18c741,[],28,0.678,0.974,10,-7.116,0,0.06,0.00182,0.902,0.108,0.196,137.991,403478,4,psytrance
6yejMUOeI1YjYwq6WKZ5CC,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Canned Heat - Remix,14,Kleiman,Uh Uh Haa!,https://i.scdn.co/image/ab67616d0000b273f8170d178f96f0365a133ed4,"['psytech', 'trance mexicano']",14,0.757,0.533,10,-11.328,1,0.0553,0.000201,0.86,0.104,0.0674,127.993,466982,4,psytrance
6UCuI39CsO9KfBgAQ9dFxG,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,The Clash - Unstable Remix,38,Sub6,The Clash (Unstable Remix),https://i.scdn.co/image/ab67616d0000b273af06b18da9a6e6bc13e31f05,"['full on', 'psychedelic trance']",26,0.637,0.759,9,-7.402,1,0.0632,0.000365,0.809,0.107,0.228,144.994,397241,4,psytrance
2IQ55IFyww2HtADa9Ewsdq,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Dreamlike,34,Interactive Noise,Dreamlike,https://i.scdn.co/image/ab67616d0000b2734c6fe7b88f8ae724710455bd,"['progressive psytrance', 'psychedelic trance', 'trance mexicano']",41,0.681,0.871,8,-7.395,1,0.0467,0.404,0.853,0.0934,0.413,140.014,384000,5,psytrance
7yBwivEg0s2lJFwlwYanAL,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Energy Overdose,8,Attik (Mexico),Energy Overdose,https://i.scdn.co/image/ab67616d0000b2738387039397e37f530dd92d33,['trance mexicano'],13,0.679,0.909,7,-7.317,1,0.0478,0.000406,0.647,0.354,0.141,143.023,501818,4,psytrance
6c9gOSNsXQSBlXZj5736e6,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Come On Te Vieras,8,Satori,Waves On Ways,https://i.scdn.co/image/ab67616d0000b2735b5d5b7dcdf09faf5cb66470,['trance mexicano'],10,0.711,0.692,0,-9.563,0,0.0536,0.0177,0.838,0.0773,0.384,140.007,466286,4,psytrance
6ldLmS69Aw3yoRr6sdW0rP,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Happiness,30,Adalamoon,Happiness,https://i.scdn.co/image/ab67616d0000b273356169b3397156810f54b8b3,[],13,0.567,0.973,11,-6.948,0,0.0465,0.00025,0.829,0.226,0.0396,144.001,352000,4,psytrance
52ERPWl1w0STK6wVGRnfeC,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Exile,18,Interactive Noise,Exile,https://i.scdn.co/image/ab67616d0000b273c3cfd18c187332e678b1901c,"['progressive psytrance', 'psychedelic trance', 'trance mexicano']",41,0.611,0.784,1,-7.48,1,0.0548,0.138,0.707,0.162,0.18,143.002,327500,3,psytrance
3kP9Xjwyy5cOtZNjJGxH1A,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Easy - Unstable Remix,29,Perfect Stranger,Been There?,https://i.scdn.co/image/ab67616d0000b273ce480e231110819ac33d0d52,"['israeli techno', 'psytech']",27,0.67,0.976,10,-8.696,0,0.0687,0.000293,0.816,0.122,0.0834,135.001,473155,4,psytrance
5IASEwzdAbconbUnDO0QSA,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Never Enough,29,Durs,Never Enough,https://i.scdn.co/image/ab67616d0000b27342e450c50cfd4ab28db5365f,"['progressive psytrance', 'psychedelic trance', 'trance mexicano']",45,0.68,0.538,5,-8.061,0,0.0328,0.0146,0.349,0.129,0.308,140.015,401357,4,psytrance
3i0Qw0LxoruonsiBW1fl1y,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Breakdown,23,4i20,Breakdown,https://i.scdn.co/image/ab67616d0000b27373ded7d62bca99dcf3128eac,"['progressive psytrance', 'psychedelic trance', 'trance brasileiro']",38,0.485,0.781,6,-7.964,0,0.0769,0.019,0.765,0.129,0.0847,139.985,350118,4,psytrance
4nQftRuMKzdaEIM76HTZfz,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Because,6,Hazmat Haze,Because,https://i.scdn.co/image/ab67616d0000b273cd38e3da84647d018d91fab3,[],5,0.71,0.533,10,-7.839,0,0.0625,0.000449,0.0149,0.269,0.151,140.059,305143,4,psytrance
5Xej4WKwympYtGjiJHvWr1,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Mirror,42,Neelix,Mirror,https://i.scdn.co/image/ab67616d0000b2732b7d726c7eb9acbdf36f1655,"['german techno', 'progressive psytrance']",57,0.756,0.683,9,-10.854,0,0.176,0.113,0.167,0.648,0.34,138.073,289565,4,psytrance
54f6awnmbG1vvjZT88T7Bu,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,The Future,18,Heavy Drop,The Future,https://i.scdn.co/image/ab67616d0000b273101cc67b10df07fa4fff4413,[],27,0.713,0.842,2,-6.186,1,0.0843,0.00668,0.585,0.122,0.57,142.99,407638,4,psytrance
5922Vo68QWFJM2P1Ab41kj,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,The Day We Met,42,Neelix,The Day We Met,https://i.scdn.co/image/ab67616d0000b273a099b129c04bc94ba6bca539,"['german techno', 'progressive psytrance']",57,0.704,0.593,3,-10.162,0,0.0514,0.0187,0.187,0.134,0.466,140.0,324507,4,psytrance
7epqyYLJLzl6jUdRsQJ90g,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Transcending Mantras,7,Disorder,Transcending Biomechanical Archetypes,https://i.scdn.co/image/ab67616d0000b273be65bf572aa3febbfcab85ef,['trance mexicano'],2,0.609,0.929,1,-8.616,1,0.0517,0.000175,0.849,0.367,0.107,143.984,489349,4,psytrance
3ZVyByS3n7fD4pAlHKSRfe,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Time Travel,19,Audiophonic,Time Travel,https://i.scdn.co/image/ab67616d0000b2733d85d77b89552938e47ae9ed,['trance mexicano'],17,0.719,0.624,6,-8.345,1,0.0992,0.0291,0.768,0.0903,0.229,148.013,363243,4,psytrance
5nJ0hlJJeFhlko6RCYKdJP,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Run Away,8,Hazmat Haze,Fly with Me,https://i.scdn.co/image/ab67616d0000b273a29661f012c3b95814d920bd,[],5,0.67,0.468,9,-8.576,0,0.233,0.00568,0.0423,0.0953,0.205,139.996,385714,4,psytrance
3Xmd5eVIceFWOisIPAkYia,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Feeling,12,Synergetic Emotion,Feeling,https://i.scdn.co/image/ab67616d0000b273d86db438f30a297af3f14517,['trance mexicano'],34,0.649,0.685,1,-6.996,1,0.0539,0.0521,0.792,0.133,0.138,140.017,240000,4,psytrance
15wBpiVLT9NvFrn9tGvqAH,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Bright Side of the Moon,3,Odiseo,Bright Side of the Moon,https://i.scdn.co/image/ab67616d0000b273f2c515a3b0342a9c2ec44f25,"['progressive psytrance', 'trance mexicano']",15,0.701,0.734,2,-7.17,1,0.0422,0.00133,0.811,0.114,0.127,138.979,390580,4,psytrance
4LbZhNWyPUcsI6umx7ilWO,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Nord Weed,17,Satori,N0rd Weed,https://i.scdn.co/image/ab67616d0000b2733a62a08a7bfa8c624a88f331,['trance mexicano'],10,0.632,0.773,11,-6.555,1,0.105,0.0154,0.735,0.158,0.356,142.034,273720,4,psytrance
2P9Yt50mGLamr5BjPEK5m9,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Power of Acid - Twilight Remix,25,Ranji,Power of Acid (Twilight Remix),https://i.scdn.co/image/ab67616d0000b2736320e50f68eb02976ee37e75,['psychedelic trance'],53,0.711,0.88,7,-6.363,1,0.091,0.0319,0.819,0.218,0.23,141.998,417372,4,psytrance
0Z5dDhw7oQrN2GOGy1JoUO,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Cat Got Fat - Original Mix,8,Jossie Telch,Alpha Inception,https://i.scdn.co/image/ab67616d0000b27373aa1f2c765a381db7c55daf,"['psytech', 'trance mexicano']",12,0.825,0.749,2,-8.127,1,0.0428,0.000742,0.755,0.123,0.0505,124.999,472320,4,psytrance
20k48AFxuUoDk7n0RPsB1O,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Mad Cow In A Cell - Knock Out Remix,2,Somatic Cell,Mad Cow In A Cell (Knock Out Remix),https://i.scdn.co/image/ab67616d0000b2738751146b837d362aeba38e5c,[],7,0.602,0.944,11,-5.679,0,0.0504,4.74e-05,0.728,0.168,0.0387,144.165,461408,4,psytrance
5eNoY18ci4XMDZhNdPu5Pp,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Dopamine,6,Twilight,Space of Time,https://i.scdn.co/image/ab67616d0000b2738904eeec07a12f80fb7d2599,['trance mexicano'],11,0.631,0.858,11,-6.44,0,0.0916,0.00186,0.453,0.164,0.708,144.989,400000,4,psytrance
4H6R0m9EFlBfxy4PljDWiS,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Prayers,23,Durs,Prayers,https://i.scdn.co/image/ab67616d0000b273fccb687a7609e20a3c26d0ff,"['progressive psytrance', 'psychedelic trance', 'trance mexicano']",45,0.706,0.808,8,-7.78,1,0.0691,0.155,0.233,0.0958,0.556,140.036,291250,4,psytrance
78vEHy7GOzyWC1HJd7Qjsl,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Into The Groove,7,Satori,Into The Groove,https://i.scdn.co/image/ab67616d0000b273dcfe0c7d5a2916310a5ea9ef,['trance mexicano'],10,0.567,0.907,10,-6.968,0,0.0371,0.00155,0.76,0.103,0.173,140.036,408000,4,psytrance
0eaQhBWbhPbNL5ZA1HVTeR,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Upon The Corner - Original Mix,16,4i20,Upon The Corner,https://i.scdn.co/image/ab67616d0000b273dcaf28d277ebe62edd9b7614,"['progressive psytrance', 'psychedelic trance', 'trance brasileiro']",38,0.567,0.608,1,-7.515,1,0.119,0.0191,0.212,0.323,0.286,135.015,300444,4,psytrance
1jJezHzMpVDHbu6dDT18mG,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Predicting The Future - Team Energy Remix,10,Satori,Predicting The Future (Team Energy Remix),https://i.scdn.co/image/ab67616d0000b2739c479667ccd4c811ad847403,['trance mexicano'],10,0.663,0.667,0,-8.42,1,0.098,0.0125,0.742,0.255,0.309,140.02,301714,4,psytrance
6LtGk8Fdv49R5qBucSfI86,https://open.spotify.com/playlist/5cvqU7HabtQ1eZU2GsGtpg?si=48f3740521f6483e,Psytrance and Progressive Trance Mexico,Quantumplation - Jossie Telch Mix,11,Grouch,Quantumplation EP,https://i.scdn.co/image/ab67616d0000b273931181267e3a1b76eb0ba1b4,"['psydub', 'psytech', 'zenonesque']",33,0.801,0.654,7,-9.152,1,0.0662,0.00113,0.813,0.0777,0.404,128.014,481875,4,psytrance
